org,date,category,title,url,keywords
OpenAI,2026-01-22,Engineering,Scaling PostgreSQL to power 800 million ChatGPT users,https://openai.com/index/scaling-postgresql/,"database, postgresql, replica, pgbouncer, caching, rate limiting"
OpenAI,2026-01-23,Engineering,Unrolling the Codex agent loop,https://openai.com/index/unrolling-the-codex-agent-loop/,"codex, agent loop, tool use, cli, harness"
OpenAI,2026-01-29,Engineering,Inside OpenAI’s in-house data agent,https://openai.com/index/inside-our-in-house-data-agent/,"data agent, memory, permissions, context, internal tools"
OpenAI,2026-02-04,Engineering,Unlocking the Codex harness: how we built the App Server,https://openai.com/index/unlocking-the-codex-harness/,"codex, app server, json-rpc, protocol, multi-client, harness"
OpenAI,2026-02-11,Engineering,Harness engineering: leveraging Codex in an agent-first world,https://openai.com/index/harness-engineering/,"harness engineering, codex, agent-first, repository knowledge, garbage collection"
OpenAI,2026-02-13,Engineering,Beyond rate limits: scaling access to Codex and Sora,https://openai.com/index/beyond-rate-limits/,"rate limits, credits, metering, billing, access control, sora, codex"
OpenAI,2026-03-11,Engineering,From model to agent: Equipping the Responses API with a computer environment,https://openai.com/index/equip-responses-api-computer-environment/,"responses api, shell tool, container, skills, compaction, agent runtime"
OpenAI,2026-03-11,Security,Designing AI agents to resist prompt injection,https://openai.com/index/designing-agents-to-resist-prompt-injection/,"prompt injection, social engineering, agent security, safe url, atlas, deep research"
Anthropic,2026-01-09,Engineering,Demystifying evals for AI agents,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,"evals, agents, grader, multi-turn, tool use, deployment"
Anthropic,2026-01-21,Engineering,Designing AI-resistant technical evaluations,https://www.anthropic.com/engineering/AI-resistant-technical-evaluations,"evaluation, hiring, ai-resistant, technical assessment, claude code"
Anthropic,2026-02-05,Engineering,Building a C compiler with a team of parallel Claudes,https://www.anthropic.com/engineering/building-c-compiler,"parallel agents, claude, compiler, multi-agent, agentic coding"
Anthropic,2026-02-18,Research,Measuring AI agent autonomy in practice,https://www.anthropic.com/research/measuring-agent-autonomy,"autonomy, measurement, claude code, deployment, human intervention"
Anthropic,2026-02-05,Security Research,Evaluating and mitigating the growing risk of LLM-discovered 0-days,https://red.anthropic.com/2026/zero-days/,"security, 0-day, cyber, dual-use, red team, claude"
Anthropic,2026-03-06,Security Research,Partnering with Mozilla to improve Firefox’s security,https://red.anthropic.com/2026/firefox/,"mozilla, firefox, vulnerability discovery, security partnership, claude opus 4.6"
Anthropic,2026-03-06,Security Research,Reverse engineering Claude's CVE-2026-2796 exploit,https://red.anthropic.com/2026/exploit/,"exploit, cve-2026-2796, reverse engineering, cyber capability, claude"
